,dateTime,symbol,change
269,2022-05-11 14:30:00-04:00,GOOG,-0.21708670339463632%
270,2022-05-11 15:30:00-04:00,GOOG,0.9426911054357452%
271,2022-05-12 09:30:00-04:00,GOOG,0.8781824015596471%
272,2022-05-12 10:30:00-04:00,GOOG,-0.7513106496710527%
273,2022-05-12 11:30:00-04:00,GOOG,0.6220717003767864%
274,2022-05-12 12:30:00-04:00,GOOG,0.19995694353881974%
275,2022-05-12 13:30:00-04:00,GOOG,1.9558786842775295%
276,2022-05-12 14:30:00-04:00,GOOG,-0.8803627207642292%
277,2022-05-12 15:30:00-04:00,GOOG,-0.5471815124936023%
278,2022-05-13 09:30:00-04:00,GOOG,-2.774324842128765%
279,2022-05-13 10:30:00-04:00,GOOG,-0.3782941900215091%
280,2022-05-13 11:30:00-04:00,GOOG,-1.040610844320849%
281,2022-05-13 12:30:00-04:00,GOOG,0.19943096222544776%
282,2022-05-13 13:30:00-04:00,GOOG,0.4823895347024532%
283,2022-05-13 14:30:00-04:00,GOOG,0.29328681489561453%
284,2022-05-13 15:30:00-04:00,GOOG,-0.14576988609613756%
285,2022-05-16 09:30:00-04:00,GOOG,0.4269581545567672%
286,2022-05-16 10:30:00-04:00,GOOG,0.7705324038161374%
287,2022-05-16 11:30:00-04:00,GOOG,0.09722666631219444%
288,2022-05-16 12:30:00-04:00,GOOG,0.24567922941307851%
289,2022-05-16 13:30:00-04:00,GOOG,-0.41235814701897017%
290,2022-05-16 14:30:00-04:00,GOOG,-0.13818146778512091%
291,2022-05-16 15:30:00-04:00,GOOG,0.8025090383072624%
292,2022-05-17 09:30:00-04:00,GOOG,-1.8342783675293992%
293,2022-05-17 10:30:00-04:00,GOOG,0.6503552243111667%
294,2022-05-17 11:30:00-04:00,GOOG,0.007311703698295397%
295,2022-05-17 12:30:00-04:00,GOOG,-0.3136918778027406%
296,2022-05-17 13:30:00-04:00,GOOG,0.15592144880507633%
297,2022-05-17 14:30:00-04:00,GOOG,-0.26643044480036937%
298,2022-05-17 15:30:00-04:00,GOOG,-0.06289963230719842%
299,2022-05-18 09:30:00-04:00,GOOG,1.050539264642351%
300,2022-05-18 10:30:00-04:00,GOOG,0.48822568217123213%
301,2022-05-18 11:30:00-04:00,GOOG,0.9691655084930143%
302,2022-05-18 12:30:00-04:00,GOOG,-0.07454945118948826%
303,2022-05-18 13:30:00-04:00,GOOG,0.4905814355554338%
304,2022-05-18 14:30:00-04:00,GOOG,0.15434539372643385%
305,2022-05-18 15:30:00-04:00,GOOG,-0.007494459107334545%
306,2022-05-19 09:30:00-04:00,GOOG,-0.18875792633089628%
307,2022-05-19 10:30:00-04:00,GOOG,0.6602839220864972%
308,2022-05-19 11:30:00-04:00,GOOG,-0.10036080993131716%
309,2022-05-19 12:30:00-04:00,GOOG,0.34860327950350833%
310,2022-05-19 13:30:00-04:00,GOOG,1.0265849473611948%
311,2022-05-19 14:30:00-04:00,GOOG,-0.7167753797360096%
312,2022-05-19 15:30:00-04:00,GOOG,0.6735735398562834%
313,2022-05-20 09:30:00-04:00,GOOG,-0.9921996934557188%
314,2022-05-20 10:30:00-04:00,GOOG,1.5251034262549978%
315,2022-05-20 11:30:00-04:00,GOOG,1.731872309867966%
316,2022-05-20 12:30:00-04:00,GOOG,1.1839634351706718%
317,2022-05-20 13:30:00-04:00,GOOG,0.1161445586898077%
318,2022-05-20 14:30:00-04:00,GOOG,-0.14743891317626276%
319,2022-05-20 15:30:00-04:00,GOOG,-1.6705666170371194%
320,2022-05-23 09:30:00-04:00,GOOG,-1.5928756654082294%
321,2022-05-23 10:30:00-04:00,GOOG,-0.313397963270009%
322,2022-05-23 11:30:00-04:00,GOOG,-0.40969339967715224%
323,2022-05-23 12:30:00-04:00,GOOG,0.3310122586355324%
